Name	Set	ImageFile	Type	Attribute	Rarity	Cost	Total Cost	Race	Trait	ATK	DEF	Divinity	Text
Ring of Legend	SDV	SDV1-015	Rune	Light	Common	{W}	1					3	[Quickcast] <br/>Target J/resonator gains [Eternal] until end of turn.
Sigrun, Valkyrie of Victory	SDV	SDV1-016	Resonator	Light	Super	{W} {W} {2}	4	Valkyrie		1000	1000		[Flying] <br/>This card gains [Eternal] during your turn. <br/>Whenever this card attacks => Rest target J/resonator.
Sorceress of the Moon	SDV	SDV1-017	Resonator	Light	Common	{W}	1	Wererabbit		400	400		[Rune] 2 (This card gains the following test as long as there are two or more runes revealed from your rune area.) - This card gains [+200/+200] and [Flying].
The Valkyrie's Chosen	SDV	SDV1-018	Resonator	Light	Common	{W} {1}	2	Human		600	600		When this card enters the field from a graveyard => It gains [+200/+200], [Swiftness], and [Precision] until end of turn.
Turn Tail	SDV	SDV1-019	Rune	Light	Common	{W}	1					2	[Quickcast] <br/>Return target resonator you control to its owner's hand.
Warrior of the Sun	SDV	SDV1-020	Resonator	Light	Common	{W}	1	Human		400	400		[First Strike]
Wererabbit Warrior	SDV	SDV1-021	Resonator	Light	Common	{W}	1	Wererabbit		400	400		[Quickcast]
Zeus' Grand Lightning	SDV	SDV1-022	Master Rune	Light	Rare	{W} {W}	2					2	Play this card only if your J/ruler is "Atom Seikhart" or "Atom Seikhart, the Shimmering Rabbit". <br/>Remove target non-magic stone, non-J-ruler entity from the game. Players cannot chase to this card.
Light Magic Stone	SDV	SDV1-023	Basic Magic Stone		Common								{Rest}: Produce {W}.
Chu-Ko-Nu	SDV	SDV2-001	Resonator	Fire	Common	{R}	1	Human		300	300		Banish this card: This card deals 300 damage to target resonator.
Concealed Khopesh	SDV	SDV2-002	Rune	Fire	Common	{R} {R} {1}	3					3	This card deal 800 damage to target player.
Dragon Dance	SDV	SDV2-003	Rune	Fire	Common	{R}	1					3	[Quickcast] <br/>Reveal the top card of your deck. If it's a resonator, this card deals damage equal to that resonator's ATK to target J/resonator. Then, if the revealed card is a Dragon, put it into your hand.
Dragon of Kunlun	SDV	SDV2-004	Resonator	Fire	Super	{R} {R} {2}	4	Dragon		1200	1200		[Flying] <br/>When this card enters the field from your deck => It deals 1000 damage to target J/resonator.
Dragon's Flight	SDV	SDV2-005	Rune	Fire	Uncommon	{R}	1					2	Choose one - Search your deck for a Dragon, reveal it and put it into your hand. Then shuffle your deck; or target Dragon you control deals damage equal to its ATK to target resonator your opponent controls.
Explosion	SDV	SDV2-006	Rune	Fire	Common	{R}	1					2	[Quickcast] <br/>This card deals 700 damage to target attacking or blocking resonator.
Flame Enchant	SDV	SDV2-007	Rune	Fire	Common	{0}	0					2	Produce {R} {R}. Spend this will only to play activate abilities of J-Rulers you control.
Flame Soldier Formation	SDV	SDV2-008	Master Rune	Fire	Rare	{R} {X}	1					2	Play this card only if your J/ruler is "Fu Xi" or "Fu Xi, King of Kunlun". <br/>[Quickcast] <br/>Choose one - Target X J/resonators cannot attack or block until end of turn; or search your deck for a fire resonator with total cost X or less and put it into the field. Then shuffle your deck.
Fu Xi	SDV	SDV2-009,SDV2-009J	Ruler	Fire	Rare			King					[Divinity] 10 <br/>[Judgment] {R} {R} {3} <br/>[Energize] {R}
Fu Xi, King of Kunlun	SDV	SDV2-009J,SDV2-009	J-Ruler	Fire	Rare			King		1000	1000		[Divinity] 10 <br/>[Flying] <br/>[Enter] => Search your deck for a Dragon with total cost 4 or less and put it into the field. Then shuffle your deck. (When this card enters the field => Perform the effect.)
Giant Sandstorm	SDV	SDV2-010	Rune	Fire	Uncommon	{R} {R} {R} {R}	4					3	This card deals 800 damage to each resonator your opponent controls.
Isis	SDV	SDV2-011,SDV2-011J	Ruler	Fire	Rare			Ascendant					[Divinity] 10 <br/>[Judgment] {R} {R} {2} <br/>[Energize] {R}
Isis, the Hundred Weapon Master	SDV	SDV2-011J,SDV2-001	J-Ruler	Fire	Rare			Ascendant		1400	800		[Divinity] 10 <br/>[First Strike] <br/>{R}: This card deals 200 damage to target J/resonator. <br/>{R}: This card gains [Precision] until end of turn. <br/>{R} {R}: This card gains [Barrier] until end of turn.
Magician of Molding	SDV	SDV2-012	Resonator	Fire	Common	{R} {1}	2	Human		600	600		If a rune you control would deal damage, it deals that much +200 instead.
Pang Tong	SDV	SDV2-013	Resonator	Fire	Uncommon	{R} {R} {1}	3	Human		400	800		[Enter] => Look at the top four cards of your deck. You may reveal a fire card from among them and put it into your hand. Put the rest on the bottom of your deck in a random order. (When this card enters the field => Perform the effect.)
Poison Stinger	SDV	SDV2-014	Rune	Fire	Common	{R}	1					2	[Quickcast] <br/>This card deals 200 damage to target resonator. If that resonator would be dealt damage this turn, it's dealt double that much instead.
Reckless Flame Soldier	SDV	SDV2-015	Resonator	Fire	Common	{R}	1	Human		800	800		Whenever this card attacks or blocks => At the next end of turn => Destroy it.
Sand Dragon	SDV	SDV2-016	Resonator	Fire	Uncommon	{R} {R} {1}	3	Dragon		1000	1000		[Flying] <br/>When this card is dealt damage => Destroy it. <br/>Whenever a J/ruler or rune you control deals damage to your opponent => Put this card from your graveyard into your hand.
Sandora Blacksmith	SDV	SDV2-017	Resonator	Fire	Common	{R}	1	Human		200	400		If a fire J/resonator you control would deal damage, it deals that much +100 instead.
Sandworm	SDV	SDV2-018	Resonator	Fire	Common	{R}	1	Insect		300	400		[Swiftness] <br/>This card cannot be attacked.
Set, the Commander of Destruction	SDV	SDV2-019	Resonator	Fire	Super	{R} {R} {R} {R}	4	Ascendant		1200	1000		[Swiftness] [First Strike]
Soldier Ambush	SDV	SDV2-020	Rune	Fire	Common	{R} {R}	2					3	[Quickcast] <br/>Resonators you control gain [+400/+400] until end of turn.
Tiger of Kunlun	SDV	SDV2-021	Resonator	Fire	Common	{R} {1}	2	Beast		600	600		[Enter] => You may pay {R} {1}. If you do, search your deck for a card named "Tiger of Kunlun" and put it into the field. Then shuffle your deck. (When this card enters the field => Perform the effect.)
Whirlwind Conflagration	SDV	SDV2-022	Master Rune	Fire	Rare	{R} {R} {3}	5					2	Play this card only if your J/ruler is "Isis" or "Isis, the Hundred Weapon Master". <br/>Target up to 6 players and or J/resonators. This card deals 200 damage to the first, 400 damage to the second, 600 damage to the third, 800 damage to the fourth, 1000 damage to the fifth, and 1200 damage to the sixth.
Fire Magic Stone	SDV	SDV2-023	Basic Magic Stone		Common								{Rest}: Produce {R}.
Anti-Matter Cannon, Excalibur	SDV	SDV3-001	Master Rune	Water	Rare	{U} {U} {1}	3					2	Play this card only if your J/ruler is "Arthur" or "Arthur, King of Machines". <br/>Your opponent separates all non-magic stone, non-J-ruler entities they control into two piles. Put all the entities in one pile on the bottom of their owners' decks in any order.
Arthur	SDV	SDV3-002,SDV3-002J	Ruler	Water	Rare			Machine					[Divinity] 10 <br/>[Judgment] {U} {U} {U} <br/>[Energize] {U}
Arthur, King of Machines	SDV	SDV3-002J,SDV3-002	J-Ruler	Water	Rare			Machine		0	800		[Divinity] 10 <br/>[Flying] <br/>[Enter] => Look at the top five cards of your deck. Choose up to two Machine resonators from among them and remove them from the game. Put [+100/+100] counters equal to the combined total cost of cards removed this way on this card. (When this card enters the field => Perform the effect.)
Caliburn, the Sword of Judgment	SDV	SDV3-003	Rune	Water	Uncommon	{U} {U} {2}	4					3	Target two resonators your opponent controls. Your opponent chooses one of them and returns it to its owner's hand. Then, banishes the other.
Charm	SDV	SDV3-004	Rune	Water	Common	{U} {1}	2					2	[Quickcast} <br/>Gain control of target resonator with total cost 2 or less until end of turn.
Checkmate	SDV	SDV3-005	Rune	Water	Common	{U} {U}	2					3	[Quickcast] <br/>Destroy target damaged resonator.
Consume	SDV	SDV3-006	Master Rune	Water	Rare	{U} {U} {1}	3					2	Play this card only if your J/ruler is "Loki" or "Loki, the Witch of Chaos". <br/>[Quickcast] <br/>Remove target resonator from the game. You gain life equal to its DEF.
Donut Drone	SDV	SDV3-007	Resonator	Water	Common	{U}	1	Machine		200	200		Banish this card: Put four [+100/+100] counters on target Machine resonator. Play this ability only during your turn.
Gawain, the Swift Knight	SDV	SDV3-008	Resonator	Water	Uncommon	{U} {U} {1}	3	Machine		800	800		This card gains [Swiftness] as long as there is a [+100/+100] counter on it.
Gretel of Misty Woods	SDV	SDV3-009	Resonator	Water	Common	{U}	1	Fairy Tale		200	600		Whenever you awaken a spell => Draw a card. This ability triggers only once per turn.
Hansel of Misty Woods	SDV	SDV3-010	Resonator	Water	Common	{U} {1}	2	Fairy Tale		600	600		[Awakening] {U} {1}: [Enter] => Return target resonator to its owner's hand. (As you play this card, you may pay {U} {1}. If you do, this card enters the field with the [Enter] ability.)
Loki	SDV	SDV3-011,SDV3-011J	Ruler	Water	Rare			Witch					[Divinity] 10 <br/>[Judgment] {U} {U} {1} <br/>[Energize] {U}
Loki, the Witch of Chaos	SDV	SDV3-011J,SDV3-011	J-Ruler	Water	Rare			Witch		800	1200		[Divinity] 10 <br/>You may pay {2} less for the [Awakening] costs of spells you control. (If you awaken a spell multiple times, you may pay {2} less for each [Awakening].)
Loki's Watchdog, Fenrir	SDV	SDV3-012	Resonator	Water	Super	{U} {U} {2}	4	Beast		1000	1000		[Awakening] {2}: [Enter] => Draw two cards. (As you play this card, you may pay {2}. If you do, this card enters the field with the [Enter] ability.) <br/>[Awakening] {2}: [Enter] => Target a resonator. Its controller banishes it.
Maintenance	SDV	SDV3-013	Rune	Water	Common	{0}	0					2	[Quickcast] <br/>Put two [+100/+100] counters on up to two target Machine resonators.
Mechanical Bishop	SDV	SDV3-014	Resonator	Water	Common	{U} {1}	2	Machine		600	600		[Enter] => Target Machine resonator gains "At end of turn => Recover this card." until end of turn. (When this card enters the field => Perform the effect.)
Mechanical Soldier	SDV	SDV3-015	Resonator	Water	Common	{U}	1	Machine		400	400		
Monstrosity	SDV	SDV3-016	Rune	Water	Uncommon	{U}	1					2	[Quickcast] <br/>Target resonator becomes a [900/900] until end of turn.
Overflowing Knowledge	SDV	SDV3-017	Rune	Water	Common	{U} {U}	2					3	Draw two cards.
Perceval, the Shining Knight	SDV	SDV3-018	Resonator	Water	Super	{U} {U} {2}	4	Machine		900	900		[Quickcast] <br/>[Enter] => You may return another Machine resonator you control to its owner's hand. If you do, return target resonator to its owner's hand. (When this card enters the field => Perform the effect.)
Petrification	SDV	SDV3-019	Rune	Water	Common	{U} {U}	2					3	Resonators your opponent controls don't recover during their controllers next recovery phase.
Reconnaissance	SDV	SDV3-020	Rune	Water	Common	{U}	1					2	Foresee 3. (Look at the top three cards of your deck and put any number of them on the top of your deck in any order. Put the rest on the bottom of your deck in any order.) Draw a card.
Scarecrow Guide	SDV	SDV3-021	Resonator	Water	Common	{U}	1	Fairy Tale		400	400		[Awakening] {1}: [Enter] => Draw a card, then discard a card. (As you play this card, you may pay {1}. If you do, this card enters the field with the [Enter] ability.)
Witch's House	SDV	SDV3-022	Resonator	Water	Uncommon	{U} {U} {1}	3	Fairy Tale		400	700		When this card is put into a graveyard from the field => Reveal the top card of your deck. If it's a water resonator, put it into the field.
Water Magic Stone	SDV	SDV3-023	Basic Magic Stone		Common								{Rest}: Produce {U}.
Chamimi	SDV	SDV4-001,SDV4-001J	Ruler	Wind	Rare			Mimi Tribe					[Divinity] 10 <br/>[Judgment] {G} {G} {3} <br/>[Energize] {G}
Chamimi, Guardian of the Sacred Bow	SDV	SDV4-001J,SDV4-001	J-Ruler	Wind	Rare			Mimi Tribe		1000	1000		[Divinity] 10 <br/>Resonators you control gain [+400/+400].
Chiyome, the Captivating Kunoichi	SDV	SDV4-002	Resonator	Wind	Super	{G} {G} {2]	4	Cat/Ninja		800	800		At end of turn => Put a [100/100] wind Cat resonator token into the field. <br/>{Rest}: Another target Cat gains [+400/+400] until end of turn.
Elephant Rush!!	SDV	SDV4-003	Master Rune	Wind	Rare	{G} {G} {3}	5					2	Play this card only if your J/ruler is "Chamimi" or "Chamimi, Guardian of the Sacred Bow". <br/>Put three [1000/1000] wind Elephant resonator tokens into the field. Players cannot chase to this card.
Fairy of the Lost Isles	SDV	SDV4-004	Resonator	Wind	Common	{G}	1	Fairy		400	400		[Flying] <br/>{G}, banish this card: Draw a card.
Forest Meditation	SDV	SDV4-005	Rune	Wind	Common	{G} {1}	2					3	Choose up to two - Put target resonator from your graveyard into your hand; or put two target magic stones from your graveyard into the field; or draw a card.
Fuhma Shuriken	SDV	SDV4-006	Rune	Wind	Common	{G}	1					2	[Quickcast] <br/>This card deals 400 damage to target J/resonator. It cannot attack or block until end of turn.
Grand Mallet Warrior	SDV	SDV4-007	Resonator	Wind	Super	{G} {G} {2}	4	Mimi Tribe		800	800		[Enter] => Target resonator gains [+800/+800] until end of turn. (When this card enters the field => Perform the effect.)
Hanzo	SDV	SDV4-008,SDV4-008J	Ruler	Wind	Rare			Cat/Ninja					[Divinity] 10 <br/>[Judgment] {G} {G} {2} <br/>[Energize] {G}
Hanzo, Chief of the Kouga	SDV	SDV4-008J,SDV4-008	J-Ruler	Wind	Rare			Cat/Ninja		1000	1000		[Divinity] 10 <br/>[Enter] => Flip a revealed rune from your rune area face down. (When this card enters the field => Perform the effect.)
Huge Toad	SDV	SDV4-009	Resonator	Wind	Common	{G}	1	Beast		400	400		When this card is put into a graveyard from the field => Target resonator gains [-400/0] until end of turn.
Jiraiya, the Toad User	SDV	SDV4-010	Resonator	Wind	Uncommon	{G} {G} {1}	3	Cat/Ninja		700	700		[Enter] => Search your deck for a card named "Huge Toad" and put it into the field. Then shuffle your deck. (When this card enters the field => Perform the effect.) <br/>Whenever you play a rune => Cards named "Huge Toad" you control gain [+400/+400] until end of turn.
Mu, the Hero of the Greatshield	SDV	SDV4-011	Resonator	Wind	Common	{G} {1}	2	Mimi Tribe		600	600		
Pygmy Hippo	SDV	SDV4-012	Resonator	Wind	Common	{G}	1	Beast		600	500		[Enter] => Reveal a Beast from your hand or pay {2}. If you don't, banish this card. (When this card enters the field => Perform the effect.)
Raft Downstream	SDV	SDV4-013	Rune	Wind	Uncommon	{G} {G} {2}	4					2	[Quickcast] <br/>Look at the top four cards of your deck. Reveal up to two wind cards from among them and put them into your hand. Put the rest on the bottom of your deck in a random order.
Rapid Fire Mi-!!	SDV	SDV4-014	Rune	Wind	Common	{G}	1					2	This card deals 400 damage to each resonator your opponent controls.
Sanctuary Elephant	SDV	SDV4-015	Resonator	Wind	Uncommon	{G} {G} {1}	3	Beast		1000	1000		[Enter] => Banish a magic stone. (When this card enters the field => Perform the effect.)
Sealing Scroll	SDV	SDV4-016	Master Rune	Wind	Rare	{0}	0					2	Play this card only if your J/ruler is "Hanzo" or "Hanzo, Chief of the Kouga". <br/>[Quickcast] <br/>Cancel target rune spell.
Shadow Step	SDV	SDV4-017	Rune	Wind	Common	{G} {1}	2					3	Target Ninja and up to one second target resonator gain [Swiftness] until end of turn.
Snipe Away Mi-!!	SDV	SDV4-018	Rune	Wind	Common	{G}	1					3	Rest a recovered J/ruler you control. If you do, destroy target resonator.
Soot Sprite	SDV	SDV4-019	Resonator	Wind	Common	{G}	1	Youkai		200	200		When this card is put into a graveyard from the field => Look at the top four cards of your deck. You may reveal a Ninja from among them and put it into your hand. Put the rest on the bottom of your deck in a random order.
Spirited Away	SDV	SDV4-020	Rune	Wind	Uncommon	{G} {G} {2}	4					3	[Quickcast] <br/>Remove target resonator from the game.
The Hundred Eyed One	SDV	SDV4-021	Resonator	Wind	Common	{G} {1}	2	Youkai		600	600		[Enter] => Target resonator cannot block until end of turn. (When this card enters the field => Perform the effect.)
Whirlwind Technique	SDV	SDV4-022	Rune	Wind	Common	{G}	1					2	[Quickcast] <br/>Target J/resonator gains [Barrier] until end of turn.
Wind Magic Stone	SDV	SDV4-023	Basic Magic Stone		Common								{Rest}: Produce {G}.
Armaros, the Fallen Angel of Nullification	SDV	SDV5-001	Resonator	Darkness	Uncommon	{B} {B} {1}	3	Fallen Angel		800	800		[Flying] <br/>[Barrier] (Chant)(Rune)
Black Rosario	SDV	SDV5-002	Master Rune	Darkness	Rare	{B} {B}	2					2	Play this card only if your J/ruler is "Lucifer" or "Lucifer, Fallen Angel of Sorrow". <br/>Your opponent banishes two resonators.
Cycle of Death	SDV	SDV5-003	Master Rune	Darkness	Rare	{B} {B}	2					2	Play this card only if your J/ruler is "Lich" or "Lich, the Saint of Death". <br/>[Quickcast] <br/>This turn, whenever a resonator you control is put into a graveyard from the field => Your opponent banishes a resonator.
Demon Division	SDV	SDV5-004	Rune	Darkness	Common	{B} {B}	2					2	Search your deck for a card and put it into your hand. Then shuffle your deck.
Fanatic of Grief	SDV	SDV5-005	Resonator	Darkness	Common	{B}	1	Human		400	400		[Enter] => Your opponent reveals their hand. (When this card enters the field => Perform the effect.)
Fleurety	SDV	SDV5-006	Resonator	Darkness	Common	{B} {B}	2	Demon		500	500		[Enter] => Choose a number. Your opponent reveals a card from their hand at random. If the revealed card's total cost is equal to the chosen number, they discard it. (When this card enters the field => Perform the effect.)
Immortal Commander	SDV	SDV5-007	Resonator	Darkness	Uncommon	{B} {B} {1}	3	Vampire		700	700		[Flying] <br/>[Enter] => Search your deck for a Skeleton or Zombie, reveal it and put it into your hand. Then shuffle your deck. (When this card enters the field => Perform the effect.)
Jet-Black Wings	SDV	SDV5-008	Rune	Darkness	Uncommon	{B} {B} {1}	3					3	[Quickcast] <br/>Resonators your opponent controls gain [-600/-600] until end of turn.
Lich	SDV	SDV5-009,SDV5-009J	Ruler	Darkness	Rare			Monarch					[Divinity] 10 <br/>[Judgment] {B} {B} {1} <br/>[Energize] {B}
Lich, the Saint of Death	SDV	SDV5-009J,SDV5-009	J-Ruler	Darkness	Rare			Monarch		600	1200		[Divinity] 10 <br/>[Bane] (When this card deals damage to a J/resonator => Destroy that J/resonator. <br/>Whenever a non-token darkness resonator you control is put into a graveyard from the field => Put a [100/100] darkness Skeleton resonator token into the field.
Lower Fallen Angel	SDV	SDV5-010	Resonator	Darkness	Common	{B}	1	Fallen Angel		300	400		[Flying]
Lucifer	SDV	SDV5-011,SDV5-011J	Ruler	Darkness	Rare			Fallen Angel					[Divinity] 10 <br/>[Judgment] {B} {B} {3} <br/>[Energize] {B}
Lucifer, Fallen Angel of Sorrow	SDV	SDV5-011J,SDV5-011	J-Ruler	Darkness	Rare			Fallen Angel		800	800		[Divinity] 10 <br/>[Flying] <br/>[Enter] => Your opponent discards three cards. (When this card enters the field => Perform the effect.)
Patchwork Frankenstein	SDV	SDV5-012	Resonator	Darkness	Common	{B} {B}	2	Zombie		1000	1000		Whenever this card attacks or blocks => It doesn't recover during your next recovery phase.
Putrefy	SDV	SDV5-013	Rune	Darkness	Common	{B}	1					2	Target a resonator. At the end of the next turn => Destroy it.
Scythe of the Reaper	SDV	SDV5-014	Rune	Darkness	Common	{B} {1}	2					3	[Quickcast] <br/>Destroy target resonator with total cost 3 or less.
Shemhaza, the Fallen Angel of Sadism	SDV	SDV5-015	Resonator	Darkness	Super	{B} {B} {2}	4	Fallen Angel		1000	1000		[Flying] <br/>[Enter] => Your opponent discards a card. (When this card enters the field => Perform the effect.) <br/>As long as your opponent has two or less cards in hand, this card gains [+400/+400].
Skeleton Horde	SDV	SDV5-016	Resonator	Darkness	Common	{B}	1	Skeleton		400	400		When this card is put into a graveyard from the field => Put a [100/100] darkness Skeleton resonator token into the field.
Specter Rush	SDV	SDV5-017	Rune	Darkness	Uncommon	{B} {B}	2					3	Put X [200/200] darkness Specter resonator tokens with [Swiftness] and [Precision] into the field, where X is the number of J/resonators your opponent controls. At the next end of turn => Remove them from the game.
Sword of Lament	SDV	SDV5-018	Rune	Darkness	Common	{B} {B} {1}	3					3	[Quickcast] <br/>Destroy target J-ruler.
Tears of the Fallen	SDV	SDV5-019	Rune	Darkness	Common	{0}	0					2	Your opponent discards a card at random.
Undeath	SDV	SDV5-020	Rune	Darkness	Common	{B}	1					2	Put target Skeleton or Zombie with total cost 3 or less from your graveyard into the field.
Vlad, the Insatiable	SDV	SDV5-021	Resonator	Darkness	Super	{B} {B} {2}	4	Vampire		1000	1000		[Flying] <br/>Banish a resonator: This card gains [Drain] until end of turn. <br/>Banish another resonator: Target J/resonator gains [+200/+200] until end of turn. <br/>Banish another resonator: Target J/resonator gains [-200/-200] until end of turn.
Wanderer of the Abyss	SDV	SDV5-022	Resonator	Darkness	Common	{B}	1	Zombie		100	100		{B} {B}: Put this card from your graveyard into your hand.
Darkness Magic Stone	SDV	SDV5-023	Basic Magic Stone		Common								{Rest}: Produce {B}.
Alice, Otherworld Visitor	SNV	SNV-001	Resonator	Light	Super	{W} {W} {1}	3	Fairy Tale/Wanderer		800	800		[Enter] => Another target resonator gains [+200/0] and [Eternal] until end of turn. <br/>When this card enters the field from your deck => Put two {+100/+100] counters on it. >br/>{W} {W} {3}, banish this card: Search your deck for a card named "Alice. Otherworld Visitor" and put it into the field. Then shuffle your deck.
Barrier of Faith	SNV	SNV-002	Chant/Rune	Light	Uncommon	{W}	1					1	[Quickcast] <br/>Prevent all damage you would be dealt by chants until end of turn.
Blade of Faith	SNV	SNV-003	Chant/Master Rune	Light	Rare	{W} {3}	4					2	You may pay {3} less to play this card if your J/ruler is "Brunhild" or "Brunhild, Caller of Spirits". <br/>Remove target resonator from the game.
Card Conscript	SNV	SNV-004	Resonator	Light	Common	{W} {4}	5	Fairy Tale		900	1400		
Dark Alice Doll	SNV	SNV-005	Resonator	Light	Rare	{W} {W} {1}	3	Fairy Tale/Doll		400	1000		[Flying] [Drain] <br/>Whenever you gain life => This card deals 200 damage to target opponent or J/resonator. This ability triggers only once per turn.
God's Choice	SNV	SNV-006	Chant	Light	Common	{W} {W}	2						[Quickcast] <br/>Recover target rested resonator. If this card was played during your turn, destroy it instead.
March hare of Valhalla	SNV	SNV-007	Resonator	Light	Uncommon	{W} {W}	2	Fairy Tale/Wererabbit		600	600		[Rune] 2 - [Drain] <br/>[Rune] 4 - This card gains [+300/+300].
Messenger of the Sun	SNV	SNV-008	Resonator	Light	Common	{W} {1}	2	Human		200	400		Whenever you play a rune => Draw a card. <br/>Banish this card: Destroy target addition.
Misteltein, the Pious Sword Saint	SNV	SNV-009	Resonator	Light	Super	{W} {W} {3}	5	Human/Wanderer		1200	1200		[Enter] => You may pay {W} {1} less to play your next rune this turn. <br/>Whenever you play a rune from a rune area => Put target resonator with total cost 3 or less from your graveyard into your field. <br/>Whenever this card blocks or is blocked by a resonator => Destroy that resonator.
Monk Heroic Spirit	SNV	SNV-010	Resonator	Light	Uncommon	{W} {W} {1}	3	Heroic Spirit		800	800		This card gains [0/+100] for each other Heroic Spirit you control.
Musician of the Moon	SNV	SNV-011	Resonator	Light	Uncommon	{W}	1	Wererabbit		300	300		[Rune] 3 - [Enter] => Draw a card.
Mysterious Welcome Party	SNV	SNV-012	Chant	Light	Common	{W}	1						[Quickcast] <br/>Choose one - Prevent the next 800 damage that would be dealt to target resonator until end of turn; or you gain 800 life.
Palace Chef	SNV	SNV-013	Resonator	Light	Common	{W} {2}	3	Wererabbit		700	800		[Enter] => You gain 600 life.
Reginleif, Inheritor of God's Will	SNV	SNV-014	Resonator	Light	Rare	{W} {W} {3}	5	Valkyrie		800	1500		[Flying] <br/>At the end of your turn => Recover all resonators you control.
Spirit of Moonlit Nights	SNV	SNV-015	Resonator	Light	Common	{W}	1	Spirit		200	200		[Flying] <br/>This card cannot be attacked.
Swordsman Heroic Spirit	SNV	SNV-016	Resonator	Light	Common	{W} {W}	2	Heroic Spirit		600	600		This card gains [+100/0] for each other Heroic Spirit you control.
The Battle of Sun and Moon	SNV	SNV-017	Chant/Rune	Light	Uncommon	{W} {W} {3}	5					2	[Quickcast] <br/>you pay {W} more to play this card from a rune area. <br/>Recover two target resonators. They gain [+200/+400] until end of turn.
The Stranger from Re-Earth	SNV	SNV-018	Chant/Rune	Light	Rare	{W} {W} {2}	4					3	You may pay {1} less to play this card from a rune area. <br/>Look at the top five cards of your deck. You may put a Fairy Tale resonator from among them into the field. Put the rest on the bottom of your deck in a random order. If no resonator was put into the field this way, recover up to three target magic stones.
Valkyrie of the Dawn	SNV	SNV-019	Resonator	Light	Common	{W} {W} {2}	4	Valkyrie		800	800		[Flying]
Wizard Heroic Spirit	SNV	SNV-020	Resonator	Light	Uncommon	{W} {W} {2}	4	Heroic Spirit		500	1000		[Enter] => Rest up to X target resonators your opponent controls, where X is the number of Heroic Spirits you control.
All Under Heaven Shall Perish	SNV	SNV-021	Chant/Rune	Fire	Uncommon	{R} {R} {2}	4					2	You pay {R} more to play this card from a rune area. <br/This card deals 500 damage to each resonator your opponent controls. If your life is 1000 or less, this card deals 1000 damage instead.
Annihilation Dragon	SNV	SNV-022	Resonator	Fire	Common	{R} {R} {3}	5	Dragon		1000	800		[Flying] <br/>Whenever this card attacks => It deals 200 damage to target J/resonator.
Frontline Warrior	SNV	SNV-023	Resonator	Fire	Common	{R} {1}	2	Human		600	500		[Swiftness]
Gaze of the Fire Emperor	SNV	SNV-024	Chant	Fire	Common	{R} {R} {2}	4						This card deals 1200 damage to target J/resonator.
Ladies of the Three Stars	SNV	SNV-025	Resonator	Fire	Uncommon	{R} {1}	2	Taoist		600	500		[Enter] => You may pay {R} {R}. If you do, search your deck for a card named "Ladies of the Three Stars" and put it into the field. Then shuffle your deck.
Lady Huang's Karakuri Soldier	SNV	SNV-026	Resonator	Fire	Common	{R} {3}	4	Karakuri		900	900		
Ma'at, Arbiter of Judgment	SNV	SNV-027	Resonator	Fire	Rare	{R}	1	Ascendant		100	600		{Rest}, {R}, banish another resonator: This card deals 600 damage to target resonator. <br/>{Rest}. {R} {R} {R}, banish this card: This card deals 800 damage to target opponent.
Neo-Berserk Dragon	SNV	SNV-028	Resonator	Fire	Rare	{R} {R} {2}	4	Dragon		1000	800		[Flying] [Swiftness] <br/>At end of battle => If this card attacked or blocked, it deals 1000 damage to you and each resonator.
Numbing Hedgehog	SNV	SNV-029	Resonator	Fire	Common	{R}	1	Beast		400	400		[Enter] => Target resonator cannot block until end of turn.
Ruins Beneath the Sands	SNV	SNV-030	Addition (Ancient Ruins)	Fire	Uncommon	{R} {R}	2		Ancient Ruins				At the end of your turn => This card deals 200 damage to target opponent or resonator. If there are four or more runes revealed from your rune area, it deals 400 damage instead.
Sand Awakening	SNV	SNV-031	Chant/Rune	Fire	Rare	{R} {1}	2					1	[Quickcast] <br/>You may pay {R} less to play this card from a rune area. <br/>Target resonator gains [+200/+600] until end of turn. If it's a fire resonator, it gains [+400/+800] instead.
Sand Soldier	SNV	SNV-032	Resonator	Fire	Common	{R} {1}	2	Sand		800	600		At end of battle => If this card attacked or blocked, destroy it. <br/>[Rune] 3 - This card gains [+400/+400].
Sandora's Invasion	SNV	SNV-033	Chant/Rune	Fire	Uncommon	{R} {R} {3}	5					3	You may pay {1} less to play this card from a rune area. <br/>Look at the top five cards of your deck. You may put a fire resonator with total cost 1, a fire resonator with total cost 2, and/or a fire resonator with total cost 3 from among them into the field. Put the rest on the bottom of your deck in a random order.
Scales of the Ascendant	SNV	SNV-034	Chant	Fire	Common	{R} {R} {1}	3						Target two resonators. Destroy one of them at random.
Searing Wall of Sand	SNV	SNV-035	Resonator	Fire	Uncommon	{R} {2}	3	Sand/Wall		0	1500		{R}: This card gains [+200/0] until end of turn.
Sima Hui, the Crafty Tactician	SNV	SNV-036	Resonator	Fire	Uncommon	{R} {3}	4	Human		800	900		[Enter] => Look at the top four cards of your deck. You may play a fire card with total cost 1 from among the without paying its cost. Put the rest on the bottom of your deck in a random order.
